#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
1.0,Bulbasaur,Grass,Poison,45.0,49.0,49.0,65.0,65.0,45.0,1.0,False
2.0,Ivysaur,Grass,Poison,60.0,62.0,63.0,80.0,80.0,60.0,1.0,False
3.0,Venusaur,Grass,Poison,80.0,82.0,83.0,100.0,100.0,80.0,1.0,False
3.0,VenusaurMega Venusaur,Grass,Poison,80.0,100.0,123.0,122.0,120.0,80.0,1.0,False
4.0,Charmander,Fire,,39.0,52.0,43.0,60.0,50.0,65.0,1.0,False
5.0,Charmeleon,Fire,,58.0,64.0,58.0,80.0,65.0,80.0,1.0,False
6.0,Charizard,Fire,Flying,78.0,84.0,78.0,109.0,85.0,100.0,1.0,False
6.0,CharizardMega Charizard X,Fire,Dragon,78.0,130.0,111.0,130.0,85.0,100.0,1.0,False
6.0,CharizardMega Charizard Y,Fire,Flying,78.0,104.0,78.0,159.0,115.0,100.0,1.0,False
7.0,Squirtle,Water,,44.0,48.0,65.0,50.0,64.0,43.0,1.0,False
8.0,Wartortle,Water,,59.0,63.0,80.0,65.0,80.0,58.0,1.0,False
9.0,Blastoise,Water,,79.0,83.0,100.0,85.0,105.0,78.0,1.0,False
9.0,BlastoiseMega Blastoise,Water,,79.0,103.0,120.0,135.0,115.0,78.0,1.0,False
10.0,Caterpie,Bug,,45.0,30.0,35.0,20.0,20.0,45.0,1.0,False
11.0,Metapod,Bug,,50.0,20.0,55.0,25.0,25.0,30.0,1.0,False
12.0,Butterfree,Bug,Flying,60.0,45.0,50.0,90.0,80.0,70.0,1.0,False
13.0,Weedle,Bug,Poison,40.0,35.0,30.0,20.0,20.0,50.0,1.0,False
14.0,Kakuna,Bug,Poison,45.0,25.0,50.0,25.0,25.0,35.0,1.0,False
15.0,Beedrill,Bug,Poison,65.0,90.0,40.0,45.0,80.0,75.0,1.0,False
